Local/Regional government,Country,Project/Initiative,SDG,Featured in,Source,Link
/,/,Mercedes-Benz connected vehicles,3,SDG Local Solutions series: How connected vhicles can make street cities safer,https://sdglocalaction.org/connected-vehicles-safer-streets/,
Buenos Aires,Argentina,"Road Safety Plan
- Artificial intelligence for incident classification
- Automated data processing and predictive analytics
- Integration with healthcare and emergency response systems 
- Infrastructure and behavioral interventions ",3,SDG Local Solutions series: Traffic Management Policies: Experiences From Istanbul And Buenos Aires ,https://sdglocalaction.org/traffic-management-policies/,
Bridgetown,Barbados,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,13,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/State%20of%20play%20--%20IUR-SIDS%20Bridgetown%20Barbados_HQP.pdf
Belize City,Belize,Urban Sustainability and Smart City Project,11,Stories,https://sdglocalaction.org/belize-smart-city/,https://www.belizecitycouncil.org/news.php?news_id=276
Belize City,Belize,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,13,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/State%20of%20play%20--%20IUR-SIDS%20Belize%20City%20Belize_HQP.pdf
Toronto,Canada,Digital Infrastructure Strategic Framework,9,Stories,https://sdglocalaction.org/toronto-digital-infrastructure-strategic-framework/,https://www.toronto.ca/city-government/accountability-operations-customer-service/long-term-vision-plans-and-strategies/connected-community/digital-infrastructure-strategic-framework/
/,Colombia,Alert for My Environment,15,Stories,https://sdglocalaction.org/colombia-open-government-environment/,
Roseau,Dominican Rep.,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,13,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/state%20of%20play%20--%20iur-sids%20%20roseau%20dominica_hqp.pdf
Nadi,Fiji,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,13,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/state%20of%20play%20--%20iur-sids%20nadi%20fiji_hqp.pdf
Kumasi,Ghana,GMC Water sanitation project,6,SDG Local Solutions series: African cities innovatingi public service delivery: the cases of Kumasi (Ghana) and Kigali (Rwanda),https://sdglocalaction.org/building-resilient-cities/,https://sdglocalaction.org/kumasi-guideline/
Accra,Ghana,Accra Metropolitan Assembly Smart Sustainable Development Goals (SDGs) Cities Implementation Committee,11,Stories,https://sdglocalaction.org/accra-smart-sdg-cities-committee/,
Dublin,Ireland,"Smart Cities initiative
- Drone program",11,SDG Local Solutions series: Mapping Cities With Drones: The Experiences Of Dublin and Freetown,https://sdglocalaction.org/drones-map-cities/,https://smartdublin.ie/dublin-city-drone-strategy/
Turin,Italy,"First Life
CommonsHud",16,SDG Local Solutions series: Digital Participatory Tools: The Experiences Of Turin And Montevideo,https://sdglocalaction.org/digital-participatory-tools-2/,"First Life: https://www.firstlife.org/
CommonsHud: https://www.commonshood.eu/"
Yokohama,Japan,Smart City initiative,11,Stories,https://sdglocalaction.org/op-ed-shaping-cities/,https://www.city.yokohama.lg.jp/lang/overseas/climatechange/contents/energypolicy/yscp.html
Greater Amman Municipality,Jordan,Amman in Listening,16,SDG Local Solutions series: Using Data Platforms for Local Decision-Making,https://sdglocalaction.org/using-data-platforms-for-local-decision-making-2/,https://sdglocalaction.org/amman-is-listening/
Mahajanga,Madagascar,Fiscal Resource Mobilization Project via Digital Solutions (Mobile Collection),17,SDG Local Solutions series: Local Government Financing Dialogues: Experiences and Innovative Solutions ,https://sdglocalaction.org/local-financing-dialogues/,
Toamasina,Madagascar,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,13,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/state%20of%20play%20--%20iur-sids%20%20toamasina%20madagascar_hqp.pdf
Port Louis,Mauritius,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,13,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/State%20of%20play%20--%20IUR-SIDS%20Port%20Louis%20Mauritius_HQP.pdf
Mexico City,Mexico,Solar City initiative,7,SDG Local Solutions series: Creating Local Skills for Green Energy Transitions,https://sdglocalaction.org/green-energy-local-skills/,
Rotterdam,Netherlands,"Connected vehicle data
- Rotterdam Open Urban Platform
- XCarCity Digital Twin Federation",3,SDG Local Solutions series: How connected vhicles can make street cities safer,https://sdglocalaction.org/connected-vehicles-safer-streets/,
Kigali,Rwanda,Kigali Innovates Smart Waste and Water Harvesting,6,SDG Local Solutions series: African cities innovatingi public service delivery: the cases of Kumasi (Ghana) and Kigali (Rwanda,https://sdglocalaction.org/building-resilient-cities/,https://sdglocalaction.org/guideline-kigalis-experience/
Kigali,Rwanda,Kigali Innovates Smart Waste and Water Harvesting,6,SDG Local Solutions series: A Tale of Two Cities: Kumasi and Kigali,https://sdglocalaction.org/kumasi-kigali/,https://sdglocalaction.org/wp-content/uploads/2023/08/Kigali-final-presenation.pdf
Singapore,Singapore,Smart Nation initiative,11,Stories,https://sdglocalaction.org/op-ed-shaping-cities/,https://www.weforum.org/agenda/2019/11/singapore-smart-city/
Barcelona,Spain,Smart City Barcelona,11,Stories,https://sdglocalaction.org/smart-city-barcelona/,
Kingstown,St. Vincent and the Grenadines,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,13,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/state%20of%20play%20--%20iur-sids%20kingstown%20svg_hqp.pdf
Nuku'alofa,Tonga,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,13,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/State%20of%20play%20--%20IUR-SIDS%20Nukualofa%20Tonga_HQP.pdf
Istanbul,Turkey,"Intelligent Transport Systems by Traffic Management Centre
- Smart traffic management system
- Artificial intelligence for traffic optimization
- Real-time public communication and enforcement 
- Infrastructure improvements and sustainable mobility ",11,SDG Local Solutions series: Traffic Management Policies: Experiences From Istanbul And Buenos Aires ,https://sdglocalaction.org/traffic-management-policies/,
/,Ukraine,"Just transitions: digital tools and capacity for inclusive, smart and. Resilient urban recovery in Ukraine",11,Stories,https://sdglocalaction.org/urban-recovery-planning-platform/,
Montevideo,Uruguay,"Montevideo Lab / MVDLAB
- Montevideo Participa",17,SDG Local Solutions series: Digital Participatory Tools: The Experiences Of Turin And Montevideo,https://sdglocalaction.org/digital-participatory-tools-2/,"Montevideo Lab: https://montevideo.gub.uy/node/41513
Montevideo Participa: https://participa.montevideo.gub.uy"
Port Vila,Vanuatu,Integrated Urban Resilience in Small Island Developing States and Coastal Cities,13,Stories,https://sdglocalaction.org/iur-sids/,https://www.sparkblue.org/system/files/2023-06/State%20of%20play%20--%20IUR-SIDS%20Port%20Vila%20Vanuatu_HQP.pdf
City of Prague,Czechia,Golemio,17,SDG Local Solutions series: Using Data Platforms for Local Decision-Making,https://sdglocalaction.org/using-data-platforms-for-local-decision-making-2/,https://golemio.cz/english
Hong Kong Special Administrative Region,China,Housing Innovation I&T Summit,9,Stories,https://sdglocalaction.org/hong-kong-housing-it-summit/,